level,question,year,city,town,name,value
state,Annual checkup,2018,NA,NA,Connecticut,0.7894837697465961
regions,Annual checkup,2018,NA,NA,Fairfield County,0.781518686690757
regions,Annual checkup,2018,NA,NA,Greater Hartford,0.7946297362851272
regions,Annual checkup,2018,NA,NA,Greater New Haven,0.7933278311544446
towns,Annual checkup,2018,NA,NA,Andover,0.7809999999999999
towns,Annual checkup,2018,NA,NA,Ansonia,0.7816104732713387
towns,Annual checkup,2018,NA,NA,Ashford,0.789
towns,Annual checkup,2018,NA,NA,Avon,0.8167963374028858
towns,Annual checkup,2018,NA,NA,Barkhamsted,0.787
towns,Annual checkup,2018,NA,NA,Beacon Falls,0.7829999999999999
towns,Annual checkup,2018,NA,NA,Berlin,0.80459357696567
towns,Annual checkup,2018,NA,NA,Bethany,0.7979999999999999
towns,Annual checkup,2018,NA,NA,Bethel,0.7766293585880327
towns,Annual checkup,2018,NA,NA,Bethlehem,0.795
towns,Annual checkup,2018,NA,NA,Bloomfield,0.8531023137752611
towns,Annual checkup,2018,NA,NA,Bolton,0.7909999999999999
towns,Annual checkup,2018,NA,NA,Bozrah,0.7999999999999999
towns,Annual checkup,2018,NA,NA,Branford,0.8035019624634269
towns,Annual checkup,2018,NA,NA,Bridgeport,0.7715200063787448
towns,Annual checkup,2018,NA,NA,Bridgewater,0.818
towns,Annual checkup,2018,NA,NA,Bristol,0.7862787340641897
towns,Annual checkup,2018,NA,NA,Brookfield,0.7856000486263067
towns,Annual checkup,2018,NA,NA,Brooklyn,0.789
towns,Annual checkup,2018,NA,NA,Burlington,0.7945640253736158
towns,Annual checkup,2018,NA,NA,Canterbury,0.79
towns,Annual checkup,2018,NA,NA,Canton,0.8055135056354451
towns,Annual checkup,2018,NA,NA,Chaplin,0.7859999999999999
towns,Annual checkup,2018,NA,NA,Cheshire,0.7954399029424831
towns,Annual checkup,2018,NA,NA,Chester,0.812
towns,Annual checkup,2018,NA,NA,Clinton,0.7922420814479639
