level,city,town,name,Life expectancy_2010-2015,Coronary heart disease_2020,Current asthma_2020,Diabetes_2020,High blood pressure_2019,Annual checkup_2020,Dental visit_2020,Health insurance_2020,Current smoking_2020,Sleep <7 hours_2020
neighborhoods,Bridgeport,NA,Black Rock,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,Brooklawn-St. Vincent,79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,Downtown,73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,East End,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,East Side,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,Enterprise,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,Hollow,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,Mill Hill,76.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,North End,79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,Reservoir-Whiskey Hill,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,South End,79.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,Upper East Side,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Bridgeport,NA,West End-West Side,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Asylum Hill,79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Barry Square,77.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Behind the Rocks,77.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Blue Hills,77.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Clay Arsenal,74.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Downtown,81.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Frog Hollow,75.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Northeast,77.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Parkville,73.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Sheldon Charter Oak,76.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,South End & South Meadows,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,South Green,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Southwest,78.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,Upper Albany,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,Hartford,West End,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Bishops Corner West,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Buena Vista,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Corbins Corner,81.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Elizabeth Park,86.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Farmington East,83.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Golf Acres,81,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Kennedy Park,79.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Mountain West,81.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,New Park,80,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,Rockledge,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,Hartford,West Hartford,West Hartford Center,83.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Amity,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Annex,80.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Beaver Hills,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Dixwell,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Downtown,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,Dwight,78,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,East Rock,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
neighborhoods,New Haven,NA,East Shore,80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
