level,city,town,name,Life expectancy_2010-2015,Any disability_2021,Mobility disability_2021,Coronary heart disease_2021,Current asthma_2021,Diabetes_2021,High blood pressure_2021,Annual checkup_2021,Dental visit_2020,Health insurance_2021,Current smoking_2021,Sleep <7 hours_2020
neighborhood,Bridgeport,NA,Black Rock,80.4,0.24,0.11,0.05,0.11,0.09,0.26,0.7,0.65,0.12,0.14,0.34
neighborhood,Bridgeport,NA,Brooklawn-St. Vincent,79.3,0.27,0.12,0.05,0.12,0.1,0.28,0.71,0.6,0.16,0.17,0.37
neighborhood,Bridgeport,NA,Downtown,73.4,0.3,0.15,0.06,0.12,0.13,0.31,0.73,0.56,0.16,0.17,0.37
neighborhood,Bridgeport,NA,East End,76.3,0.33,0.17,0.06,0.14,0.14,0.34,0.74,0.51,0.19,0.21,0.42
neighborhood,Bridgeport,NA,East Side,75.9,0.35,0.17,0.05,0.13,0.14,0.3,0.7,0.47,0.27,0.21,0.39
neighborhood,Bridgeport,NA,Enterprise,76,0.28,0.13,0.04,0.12,0.11,0.28,0.71,0.57,0.18,0.18,0.38
neighborhood,Bridgeport,NA,Hollow,75.8,0.36,0.17,0.05,0.13,0.13,0.29,0.69,0.44,0.27,0.24,0.41
neighborhood,Bridgeport,NA,Mill Hill,76.3,0.32,0.17,0.06,0.13,0.14,0.33,0.73,0.54,0.18,0.19,0.39
neighborhood,Bridgeport,NA,North End,79.1,0.25,0.12,0.05,0.11,0.09,0.28,0.72,0.66,0.11,0.14,0.34
neighborhood,Bridgeport,NA,Reservoir-Whiskey Hill,80.3,0.28,0.14,0.05,0.13,0.12,0.32,0.74,0.59,0.15,0.17,0.4
neighborhood,Bridgeport,NA,South End,79.1,0.25,0.1,0.03,0.12,0.08,0.22,0.69,0.57,0.14,0.15,0.36
neighborhood,Bridgeport,NA,Upper East Side,76.1,0.29,0.15,0.06,0.12,0.12,0.32,0.74,0.59,0.16,0.17,0.37
neighborhood,Bridgeport,NA,West End-West Side,75.6,0.35,0.17,0.05,0.13,0.14,0.31,0.71,0.47,0.24,0.22,0.4
neighborhood,Hartford,Hartford,Asylum Hill,79.3,0.34,0.15,0.05,0.14,0.14,0.35,0.77,0.54,0.14,0.19,0.43
neighborhood,Hartford,Hartford,Barry Square,77.8,0.41,0.17,0.05,0.15,0.15,0.31,0.73,0.47,0.23,0.21,0.4
neighborhood,Hartford,Hartford,Behind the Rocks,77.9,0.38,0.17,0.06,0.13,0.16,0.33,0.75,0.5,0.23,0.2,0.4
neighborhood,Hartford,Hartford,Blue Hills,77.2,0.34,0.14,0.05,0.15,0.13,0.35,0.79,0.59,0.09,0.16,0.43
neighborhood,Hartford,Hartford,Clay Arsenal,74.8,0.46,0.23,0.07,0.16,0.2,0.4,0.77,0.41,0.24,0.26,0.45
neighborhood,Hartford,Hartford,Downtown,81.2,0.18,0.05,0.03,0.11,0.06,0.22,0.73,0.75,0.05,0.08,0.32
neighborhood,Hartford,Hartford,Frog Hollow,75.9,0.39,0.17,0.06,0.13,0.15,0.31,0.73,0.49,0.25,0.2,0.4
neighborhood,Hartford,Hartford,Northeast,77.4,0.35,0.17,0.06,0.14,0.16,0.4,0.81,0.58,0.11,0.18,0.43
neighborhood,Hartford,Hartford,Parkville,73.7,0.42,0.2,0.07,0.14,0.17,0.35,0.74,0.46,0.24,0.23,0.41
neighborhood,Hartford,Hartford,Sheldon Charter Oak,76.5,0.36,0.17,0.06,0.13,0.15,0.34,0.75,0.52,0.19,0.19,0.39
neighborhood,Hartford,Hartford,South End & South Meadows,78.2,0.37,0.17,0.06,0.13,0.14,0.33,0.74,0.53,0.2,0.2,0.39
neighborhood,Hartford,Hartford,South Green,71.9,0.39,0.18,0.07,0.13,0.17,0.35,0.76,0.51,0.22,0.19,0.39
neighborhood,Hartford,Hartford,Southwest,78.3,0.34,0.16,0.06,0.12,0.14,0.35,0.77,0.6,0.16,0.15,0.37
