level,city,town,name,Any disability_2023,Mobility disability_2023,Coronary heart disease_2023,Current asthma_2023,Diabetes_2023,High blood pressure_2023,Annual checkup_2023,Dental visit_2022,Health insurance_2023
neighborhood,Bridgeport Tracts,NA,Black Rock,0.211,0.091,0.047,0.099,0.09,0.28,0.776,0.706,0.112
neighborhood,Bridgeport Tracts,NA,Brooklawn-St. Vincent,0.292,0.135,0.056,0.112,0.118,0.321,0.764,0.61,0.189
neighborhood,Bridgeport Tracts,NA,Downtown,0.333,0.176,0.077,0.111,0.155,0.376,0.778,0.585,0.213
neighborhood,Bridgeport Tracts,NA,East End,0.346,0.174,0.061,0.119,0.15,0.359,0.764,0.529,0.255
neighborhood,Bridgeport Tracts,NA,East Side,0.36,0.179,0.063,0.115,0.153,0.343,0.75,0.484,0.298
neighborhood,Bridgeport Tracts,NA,Enterprise,0.337,0.161,0.059,0.119,0.137,0.337,0.752,0.534,0.246
neighborhood,Bridgeport Tracts,NA,Hollow,0.362,0.165,0.056,0.118,0.133,0.313,0.726,0.457,0.313
neighborhood,Bridgeport Tracts,NA,Mill Hill,0.361,0.198,0.077,0.118,0.167,0.389,0.783,0.532,0.237
neighborhood,Bridgeport Tracts,NA,North End,0.272,0.123,0.056,0.11,0.107,0.31,0.774,0.663,0.148
neighborhood,Bridgeport Tracts,NA,Reservoir-Whiskey Hill,0.303,0.153,0.058,0.117,0.138,0.357,0.783,0.585,0.194
neighborhood,Bridgeport Tracts,NA,South End,0.302,0.118,0.047,0.113,0.103,0.275,0.742,0.604,0.191
neighborhood,Bridgeport Tracts,NA,Upper East Side,0.279,0.134,0.055,0.11,0.124,0.331,0.778,0.624,0.181
neighborhood,Bridgeport Tracts,NA,West End-West Side,0.355,0.178,0.064,0.117,0.152,0.349,0.754,0.495,0.273
neighborhood,Hartford Tracts,Hartford,Asylum Hill,0.342,0.162,0.06,0.137,0.155,0.369,0.81,0.534,0.175
neighborhood,Hartford Tracts,Hartford,Barry Square,0.38,0.167,0.059,0.131,0.153,0.322,0.781,0.502,0.242
neighborhood,Hartford Tracts,Hartford,Behind the Rocks,0.365,0.177,0.066,0.123,0.167,0.353,0.796,0.53,0.25
neighborhood,Hartford Tracts,Hartford,Blue Hills,0.325,0.146,0.052,0.151,0.14,0.376,0.834,0.58,0.105
neighborhood,Hartford Tracts,Hartford,Clay Arsenal,0.422,0.219,0.072,0.147,0.197,0.401,0.807,0.446,0.258
neighborhood,Hartford Tracts,Hartford,Downtown,0.204,0.068,0.034,0.108,0.076,0.238,0.781,0.702,0.083
neighborhood,Hartford Tracts,Hartford,Frog Hollow,0.402,0.196,0.068,0.128,0.174,0.349,0.78,0.464,0.303
neighborhood,Hartford Tracts,Hartford,Northeast,0.388,0.203,0.065,0.157,0.184,0.421,0.828,0.507,0.185
neighborhood,Hartford Tracts,Hartford,Parkville,0.35,0.16,0.063,0.126,0.15,0.337,0.788,0.541,0.221
neighborhood,Hartford Tracts,Hartford,Sheldon Charter Oak,0.304,0.137,0.052,0.122,0.135,0.322,0.8,0.52,0.169
neighborhood,Hartford Tracts,Hartford,South End & South Meadows,0.357,0.175,0.065,0.125,0.162,0.347,0.795,0.533,0.239
neighborhood,Hartford Tracts,Hartford,South Green,0.42,0.224,0.083,0.133,0.202,0.397,0.799,0.447,0.284
neighborhood,Hartford Tracts,Hartford,Southwest,0.319,0.154,0.062,0.117,0.151,0.349,0.814,0.645,0.193
neighborhood,Hartford Tracts,Hartford,Upper Albany,0.405,0.225,0.075,0.161,0.204,0.457,0.837,0.46,0.173
neighborhood,Hartford Tracts,Hartford,West End,0.314,0.142,0.063,0.126,0.137,0.341,0.809,0.614,0.147
neighborhood,Hartford Tracts,West Hartford,Bishops Corner West,0.197,0.083,0.05,0.108,0.09,0.307,0.843,0.798,0.043
neighborhood,Hartford Tracts,West Hartford,Buena Vista,0.213,0.094,0.059,0.11,0.096,0.336,0.856,0.827,0.041
